Time (s),Pressure (PSI),Temperature (°C),Flow Rate (L/min),Valve State,Alert Status
0,68.69455511193392,27.719236900230133,17.317650737334624,OPEN,HIGH PRESSURE
5,40.01923153717198,28.349035346019647,8.606927010102131,CLOSE,LOW PRESSURE
10,34.04202745574007,27.001710546286677,10.597993415244021,CLOSE,LOW PRESSURE
15,32.942549908045635,27.83509763533986,8.207504237662022,CLOSE,LOW PRESSURE
20,31.51460936463821,28.04067359780272,11.251193771730437,CLOSE,LOW PRESSURE
25,64.60106572264877,29.84980774382414,11.819932890488632,OPEN,HIGH PRESSURE
30,39.405543621940595,29.400727856541224,9.89105280743951,CLOSE,LOW PRESSURE
35,61.488391550551356,30.03051410764578,14.572910988014879,OPEN,HIGH PRESSURE
40,64.63654029400789,25.692386063955308,17.35356949814806,OPEN,HIGH PRESSURE
45,33.00021153516957,27.693910043595757,15.02719154582967,CLOSE,LOW PRESSURE
50,44.35806164500336,29.100904300560664,11.244738059109034,HOLD,NORMAL
55,41.321364347772146,28.88124928015777,11.77624476283709,HOLD,NORMAL
60,35.479363901554315,26.485932528439246,10.986331539168022,CLOSE,LOW PRESSURE
65,53.2170058318722,26.801714785838747,15.678326319240288,HOLD,NORMAL
70,66.51561708294965,28.839288307827342,11.399387947478079,OPEN,HIGH PRESSURE
75,56.28409934215438,28.78968156782886,11.10883504811575,HOLD,NORMAL
80,34.2740445165713,24.417578737143344,9.509434021166758,CLOSE,LOW PRESSURE
85,64.69632226771165,28.67918661553106,15.440485007815814,OPEN,HIGH PRESSURE
90,42.477031728991776,28.38719670565946,8.68720711037502,HOLD,NORMAL
95,63.399125038139225,29.211313206870393,15.88373091302963,OPEN,HIGH PRESSURE
100,50.83217389128497,29.664030512957627,13.11786140208518,HOLD,NORMAL
105,33.43315417345998,24.687095226653685,10.738589971012365,CLOSE,LOW PRESSURE
110,46.86036658250318,27.35198075711647,12.098991804162132,HOLD,NORMAL
115,66.98149000377286,30.597218896427794,14.334465706830485,OPEN,HIGH PRESSURE
120,60.34697179632764,29.475549928779962,17.982095941836114,OPEN,HIGH PRESSURE
125,55.90927869741362,27.073274041972574,11.947842090046793,HOLD,NORMAL
130,42.567431360607195,28.93557573733398,10.909639977835814,HOLD,NORMAL
135,53.03914279299142,30.802648628095174,13.10803839486184,HOLD,NORMAL
140,64.65636334226743,30.191170523617764,19.561500455267964,OPEN,HIGH PRESSURE
145,47.48044224484629,29.195838070757276,14.345562724682672,HOLD,NORMAL
150,36.9074927722277,27.82464683390124,9.37797576865383,CLOSE,LOW PRESSURE
155,37.23962355635882,26.71247785609203,10.322787012079374,CLOSE,LOW PRESSURE
160,38.199257314644555,27.652022386751053,9.26758147369786,CLOSE,LOW PRESSURE
165,40.22629082253668,28.708013968118077,17.159517277926902,HOLD,NORMAL
170,48.448849483556614,27.004488290917365,10.233470734780711,HOLD,NORMAL
175,44.90624164946225,29.99526410127735,11.279745883147733,HOLD,NORMAL
180,36.64711516647161,25.59815933584075,8.761144285797837,CLOSE,LOW PRESSURE
185,42.113686459802906,27.317379235557727,11.257247532160402,HOLD,NORMAL
190,62.58256772710364,34.161158697246115,13.277871305917158,OPEN,HIGH PRESSURE
195,40.89280768731467,26.571934678126315,11.860075801458004,CLOSE,LOW PRESSURE
200,48.949061361476716,27.342845203068965,14.645839144182284,HOLD,NORMAL
205,70.21605484372058,26.07051109580987,9.59476564040374,OPEN,HIGH PRESSURE
210,29.282408859864237,26.273237941590423,11.544302387216494,CLOSE,LOW PRESSURE
215,62.447022017849214,29.81278308526392,11.944061562851365,OPEN,HIGH PRESSURE
220,58.25583081463842,27.503428028514517,10.638700391463022,HOLD,NORMAL
225,64.87344767857206,30.732225365447526,14.335658529660007,OPEN,HIGH PRESSURE
230,65.82182699844259,29.369718485892253,11.122435871856391,OPEN,HIGH PRESSURE
235,54.934839984644725,28.431640731350544,11.902478439772212,HOLD,NORMAL
240,67.39886267854455,29.726991603515224,13.962594249336341,OPEN,HIGH PRESSURE
245,37.52937886321474,26.461211452483116,10.739913719055364,CLOSE,LOW PRESSURE
250,55.69431415281171,27.335665548910942,12.21627434279971,HOLD,NORMAL
255,50.74740953311797,29.121165329434465,10.783579770832779,HOLD,NORMAL
260,70.38597703147211,30.01378767024267,15.78827636832543,OPEN,HIGH PRESSURE
265,32.44349301822442,25.782726587422857,8.936597299119763,CLOSE,LOW PRESSURE
270,54.49871149111443,27.882968443691826,11.920915625586124,HOLD,NORMAL
275,64.6515944709758,30.278026946782408,12.511235023694837,OPEN,HIGH PRESSURE
280,60.89796813230382,28.834835948664306,11.530556344165857,HOLD,NORMAL
285,48.571781494227004,27.87146402018579,14.220883782014102,HOLD,NORMAL
290,65.83943472969257,28.19471363709228,12.667278398232444,OPEN,HIGH PRESSURE
295,55.918238412415754,28.485534890291976,11.705971168616394,HOLD,NORMAL
300,35.04692280687394,26.757043322292475,12.943840238623274,CLOSE,LOW PRESSURE
305,65.69292649082983,28.530818282402706,15.364261234198832,OPEN,HIGH PRESSURE
310,60.083064494105,30.30383619359095,12.480896673374753,OPEN,HIGH PRESSURE
